video_id,duration_minutes,title_length,description_length,tags_count,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,total_views,duration_minutes_log,channel_subscribers_log,has_thumbnail_custom_Sim,video_quality_480p,video_quality_4K,video_quality_4k,video_quality_720p,category_  Educação,category_  Fitness,category_  Gaming,category_  Música,category_  Tecnologia,category_  Vlogs,category_Culinária,category_Educação,category_Fitness,category_Gaming,category_Música,category_Tecnologia,category_Vlogs,language_Espanhol,language_INGLÊS,language_Inglês,language_PORTUGUÊS,language_Português,has_subtitles_Sim,promoted_Sim,upload_time_Manhã,upload_time_Noite,upload_time_Tarde,upload_day_Seg-Qui,upload_day_Sexta,upload_day_Sábado,engagement_rate,content_density
VID00197,-1.565033991922183,-0.055048356943331905,0.19368744233334195,0.6357742559762855,-1.3201260017809038,-0.0027814837506591914,1.0881745884449312,-0.7703163581835119,-0.7368825491863998,-1.3569237996751033,-0.0005753853401025435,0.42508601870227075,2219779,-2.565563094219592,-5.6148990074971055,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8226224612557482,3.7045076389046048
VID00987,1.5093811901539325,1.5534600646124526,0.0001769597492156983,-0.5288042690578341,1.0015059686989531,-0.0027814837506591914,-1.5200947202477384,-0.196729894176071,1.6775664079577455,-1.0714850146347068,-0.5690832616641217,1.3461224543337504,719904,1.118588000104908,0.8079788562551316,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,-0.026465061833508975,-0.5527128965422984
VID01091,0.8081987802067482,-0.7444091090386681,-1.3452460666198924,-0.3232904116988718,0.6448528299053362,-0.015753021675420587,-1.2873357793145341,-1.688054700595417,0.72628058897167,0.6074059488237624,-1.3683886776267458,0.13854134983914376,1420456,0.7945045943360135,0.6661095329590435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-0.023846810158170084,-0.4812640307928572
VID00388,-1.2953484496348044,-1.6252589589382644,-1.0089470575374753,-1.4193643176133373,-0.9231670212663715,0.7061817640832982,-1.05457683838133,-0.6555990653820236,1.6043905757280472,1.1993891864272839,0.4270607791617695,-1.0622172625396742,329746,-1.4690307889056833,-0.6930187817118204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.006064027938394572,-0.46687993570798625
VID02222,1.2936327563240295,1.5151622450516005,0.40935745902750065,1.5948389236514426,0.8555324841647738,-1.5462547674839044,-0.2878415035425401,-0.3114471869775592,-0.6700698328027624,1.0672909307995915,-1.5307805431389412,1.5610309559810958,984985,1.0268789153667497,0.7527406478449384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.023566369931544522,-0.26096025870351713
VID00169,-0.8638515819749988,1.6683535232950086,-1.6157474434905321,-1.6248781749722994,-0.7720801283140601,1.081587852677832,0.8759532011234804,-0.885033650985,0.07759627910937036,0.5755766897118159,1.6348063417156729,1.0971014921074616,266178,-0.6090526864999029,-0.4192457805432662,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.015185328485151485,-0.6665650204156072
VID01379,0.10701637025956397,1.5917578841733047,-0.387524975537357,0.08773730301905275,0.08025097380653921,-0.10238519596646684,0.8211863914921382,-0.4261644797790473,0.22253391782519752,0.5673803139748339,-0.6843744562268924,1.571264694154779,555307,0.3674111702162153,0.37802831471862564,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.022550762782521504,-0.3123536570819434
VID02463,0.3227648040894668,-0.361430913430148,0.8735963085217068,-0.8713273646561045,-0.9868974876185587,1.6302582898544582,0.8417239451038916,-0.6555990653820236,0.9012662747383394,0.41130765931646934,-0.6253228687679123,-1.3385281932291182,264052,0.5137365741276436,-0.8414606991270216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.008845900971143085,-0.5376939422796588
VID00706,1.2936327563240295,-0.8593025677212242,-0.8444529770080322,-1.4878689367329911,0.37479723731056613,-1.2863582446107658,0.04075935424551273,0.2621392770298816,-0.31762391621817787,-0.3060801270628758,0.7898062449812189,-1.1031522152344067,479746,1.0268789153667497,0.5403668601953034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-0.024861247599600438,-0.669771382168272
VID02077,-0.9717257988899501,-0.6678134699169641,-0.387524975537357,-1.5563735558526453,-1.1913847810526055,-1.141971287459022,0.1776763783238681,-1.1144682365879763,1.5739890222413129,0.18665866099202238,-0.753267974929036,0.6741069809285597,170439,-0.7782971257120165,-1.645917929431061,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.015136489409561436,-0.6279818006585415
